ry_ini_q,ry_ini_delta,ry_fin_q,ry_fin_delta,snow_q,snow_delta,obs_fin_q,obs_fin_delta,resub_factor,prcp_perday,prcp_duration,CLOUD_AGING,p_btm,p_top,delta_q_surf,rh_surf,dt,temp_air_fin,ALPHA_RY_MODE,h_air,surface_wind,temp_air_init,temp_sea_init
3.7378786914194815,-14.936640119945,1.6648435882347152,-25.686368488719694,0.10215260416666666,-11.430807568465353,2.8238395393979445,-14.974176839968045,0.2,1,0.25,True,700,400,-15,0.7,0.5,-10,eq,0.5,6.5,0,5
5.327510845438027,-14.048893679109554,0.664380693404857,-40.645609464063334,0.10215260416666666,-26.640928156363483,2.8238395393979445,-15.084222287385707,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eff,0.5,6.5,5,5
5.327510845438027,-16.43988535183849,1.6648435882347152,-31.19187194267533,0.10215260416666666,-17.0194687986104,2.8238395393979445,-15.014610886626812,0.2,1,0.25,True,700,400,-15,0.7,0.5,-10,eq,0.5,35,5,5
3.7378786914194815,-14.936640119945,0.664380693404857,-37.76687846118287,0.10215260416666666,-23.716648318323244,2.8238395393979445,-15.063065079506055,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eff,0.5,6.5,0,5
5.327510845438027,-14.048893679109554,1.6648435882347152,-27.488657376993988,0.10215260416666666,-14.933388168239468,2.8238395393979445,-14.999518062412065,0.2,1,0.25,True,700,400,-15,0.7,0.5,-10,eff,0.5,6.5,5,5
3.7378786914194815,-14.294863446949414,0.6968241909147566,-38.97541176018651,0.10215260416666666,-22.62646912860774,2.8238395393979445,-15.055177616944192,0.2,1,0.25,True,700,400,-15,0.7,1,-20,eq,1,35,0,5
3.7378786914194815,-14.936640119945,1.6648435882347152,-24.60992637411352,0.10215260416666666,-12.016290493002955,2.8238395393979445,-14.978412817586605,0.2,1,0.25,True,700,400,-15,0.7,0.5,-10,eff,0.5,6.5,0,5
3.7378786914194815,-18.035901907714646,1.6648435882347152,-27.709188161883162,0.10215260416666666,-15.156858106650121,2.8238395393979445,-15.001134870721744,0.2,1,0.25,True,700,400,-15,0.7,0.5,-10,eff,0.5,35,0,5
3.7378786914194815,-12.85779587538116,0.6968241909147566,-37.538344188618254,0.10215260416666666,-21.163000045523667,2.8238395393979445,-15.044589396482898,0.2,1,0.25,True,700,400,-15,0.7,1,-20,eq,1,6.5,0,5
3.7378786914194815,-12.85779587538116,0.6968241909147566,-34.57103183991974,0.10215260416666666,-20.529460250303142,2.8238395393979445,-15.040005726694172,0.2,1,0.25,True,700,400,-15,0.7,1,-20,eff,1,6.5,0,5
