ry_ini_q,ry_ini_delta,ry_fin_q,ry_fin_delta,snow_q,snow_delta,obs_fin_q,obs_fin_delta,resub_factor,prcp_perday,prcp_duration,CLOUD_AGING,p_btm,p_top,delta_q_surf,rh_surf,dt,temp_air_fin,ALPHA_RY_MODE,h_air,surface_wind,temp_air_init,temp_sea_init
7.482433334471366,-10.590417768632232,0.664380693404857,-44.209967684343624,0.10215260416666666,-27.866493432637164,2.8238395393979445,-15.093089270286075,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eq,1,6.5,10,10
7.482433334471366,-10.590417768632232,0.664380693404857,-40.78178533493897,0.10215260416666666,-26.779258675334972,2.8238395393979445,-15.085223110736345,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eff,1,6.5,10,10
5.327510845438027,-13.706802534399266,0.664380693404857,-40.303518319353046,0.10215260416666666,-26.29342426097155,2.8238395393979445,-15.081708091562728,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eff,1,35,5,10
5.327510845438027,-17.503507624770375,0.664380693404857,-47.45787903488676,0.10215260416666666,-31.174633269655267,2.8238395393979445,-15.117023710935706,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eq,0.5,35,5,10
5.327510845438027,-13.706802534399266,0.664380693404857,-43.66117394451566,0.10215260416666666,-27.3075229937716,2.8238395393979445,-15.089045110893483,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eq,1,35,5,10
5.327510845438027,-14.426243307034792,0.664380693404857,-44.380614717151175,0.10215260416666666,-28.04030490292952,2.8238395393979445,-15.094346798844471,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eq,0.5,6.5,5,10
7.482433334471366,-13.567577996008495,0.664380693404857,-47.187127911719884,0.10215260416666666,-30.89886140283347,2.8238395393979445,-15.11502849740054,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eq,0.5,6.5,10,10
7.482433334471366,-10.590417768632232,1.6648435882347152,-29.007582865064077,0.10215260416666666,-14.802187166579674,2.8238395393979445,-14.998568821224634,0.2,1,0.25,True,700,400,-15,0.7,0.5,-10,eq,1,6.5,10,10
7.482433334471366,-10.590417768632122,0.664380693404857,-44.20996768434352,0.10215260416666666,-27.866493432637004,2.8238395393979445,-15.093089270286075,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eq,1,35,10,10
5.327510845438027,-12.316618528951274,0.664380693404857,-42.27098993906767,0.10215260416666666,-25.891559750692288,2.8238395393979445,-15.078800595887065,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eq,1,6.5,5,10
5.327510845438027,-12.316618528951274,1.6648435882347152,-27.068605119788113,0.10215260416666666,-12.833922167441358,2.8238395393979445,-14.984328394844315,0.2,1,0.25,True,700,400,-15,0.7,0.5,-10,eq,1,6.5,5,10
5.327510845438027,-13.706802534399266,1.6648435882347152,-28.45878912523611,0.10215260416666666,-14.245104181753398,2.8238395393979445,-14.9945383175899,0.2,1,0.25,True,700,400,-15,0.7,0.5,-10,eq,1,35,5,10
5.327510845438027,-12.316618528951274,0.664380693404857,-38.913334313905054,0.10215260416666666,-24.881244014124345,2.8238395393979445,-15.071490946589993,0.2,1,0.25,True,700,400,-15,0.7,0.5,-20,eff,1,6.5,5,10
