ry_ini_q,ry_ini_delta,ry_fin_q,ry_fin_delta,snow_q,snow_delta,obs_fin_q,obs_fin_delta,resub_factor,prcp_duration,temp_air_fin,prcp_perday,p_top,rh_surf,dt,ALPHA_RY_MODE,h_air,surface_wind,temp_air_init,temp_sea_init
10.361951210723882,-83.52037815475732,0.664380693404857,-429.86995907747075,0.0681017361111111,-332.0188550124539,2.817029365786833,-121.02511193457887,0.2,0.25,-20,1,400,0.7,0.5,eq,1,35,15,15
7.482433334471366,-89.11140995875189,0.664380693404857,-403.9502806795485,0.0681017361111111,-301.6505531414258,2.817029365786833,-120.87828108465737,0.2,0.25,-20,1,400,0.7,0.5,eq,0.5,35,10,15
7.482433334471366,-86.6232159880782,0.664380693404857,-401.4620867088748,0.0681017361111111,-298.7353076489831,2.817029365786833,-120.86418586210578,0.2,0.25,-20,1,400,0.7,0.5,eq,0.5,6.5,10,15
7.482433334471366,-85.97479807941954,0.664380693404857,-400.81366880021613,0.0681017361111111,-297.9756010474761,2.817029365786833,-120.8605126779263,0.2,0.25,-20,1,400,0.7,0.5,eq,1,35,10,15
7.482433334471366,-86.6232159880782,0.664380693404857,-385.14058030054457,0.0681017361111111,-287.7395265259711,2.817029365786833,-120.8110212204112,0.2,0.25,-20,1,400,0.7,0.5,eff,0.5,6.5,10,15
10.361951210723882,-83.52037815475732,0.6968241909147566,-416.50939961443805,0.0681017361111111,-317.2417630091989,2.817029365786833,-120.95366464103496,0.2,0.25,-20,1,400,0.7,1,eq,1,6.5,15,15
7.482433334471366,-85.97479807941954,0.664380693404857,-384.49216239188587,0.0681017361111111,-286.98839058112804,2.817029365786833,-120.80738947538782,0.2,0.25,-20,1,400,0.7,0.5,eff,1,35,10,15
10.361951210723882,-85.94628876042776,0.664380693404857,-415.9743632748111,0.0681017361111111,-323.45779156069074,2.817029365786833,-120.98371916167406,0.2,0.25,-20,1,400,0.7,0.5,eff,0.5,6.5,15,15
7.482433334471366,-85.97479807941954,0.6968241909147566,-387.9578823804492,0.0681017361111111,-283.8328113066334,2.817029365786833,-120.79213223812646,0.2,0.25,-20,1,400,0.7,1,eq,1,35,10,15
10.361951210723882,-87.89424806992096,0.664380693404857,-434.2438289926345,0.0681017361111111,-337.1434171267498,2.817029365786833,-121.049889211027,0.2,0.25,-20,1,400,0.7,0.5,eq,0.5,35,15,15
10.361951210723882,-83.52037815475732,0.664380693404857,-413.54845266914066,0.0681017361111111,-320.64758439167196,2.817029365786833,-120.97013179979798,0.2,0.25,-20,1,400,0.7,0.5,eff,1,6.5,15,15
10.361951210723882,-83.52037815475732,0.6968241909147566,-416.50939961443805,0.0681017361111111,-317.2417630091989,2.817029365786833,-120.95366464103496,0.2,0.25,-20,1,400,0.7,1,eq,1,35,15,15
10.361951210723882,-83.52037815475732,0.664380693404857,-429.86995907747075,0.0681017361111111,-332.0188550124539,2.817029365786833,-121.02511193457887,0.2,0.25,-20,1,400,0.7,0.5,eq,1,6.5,15,15
7.482433334471366,-84.88041588240203,0.6968241909147566,-386.8635001834317,0.0681017361111111,-282.55224321401323,2.817029365786833,-120.78594068674442,0.2,0.25,-20,1,400,0.7,1,eq,1,6.5,10,15
10.361951210723882,-83.52037815475732,0.664380693404857,-413.54845266914066,0.0681017361111111,-320.64758439167196,2.817029365786833,-120.97013179979798,0.2,0.25,-20,1,400,0.7,0.5,eff,1,35,15,15
7.482433334471366,-89.11140995875189,0.664380693404857,-387.6287742712182,0.0681017361111111,-290.6218835750957,2.817029365786833,-120.82495742721977,0.2,0.25,-20,1,400,0.7,0.5,eff,0.5,35,10,15
7.482433334471366,-84.88041588240203,0.664380693404857,-383.39778019486835,0.0681017361111111,-285.7206436620494,2.817029365786833,-120.80125991442637,0.2,0.25,-20,1,400,0.7,0.5,eff,1,6.5,10,15
7.482433334471366,-86.6232159880782,0.6968241909147566,-388.6063002891079,0.0681017361111111,-284.59154375559496,2.817029365786833,-120.79580071227491,0.2,0.25,-20,1,400,0.7,1,eq,0.5,6.5,10,15
7.482433334471366,-84.88041588240203,0.664380693404857,-399.7192866031986,0.0681017361111111,-296.69338880654675,2.817029365786833,-120.85431317708107,0.2,0.25,-20,1,400,0.7,0.5,eq,1,6.5,10,15
10.361951210723882,-87.89424806992096,0.6968241909147566,-420.8832695296017,0.0681017361111111,-322.35975402706146,2.817029365786833,-120.97841014620802,0.2,0.25,-20,1,400,0.7,1,eq,0.5,35,15,15
10.361951210723882,-85.94628876042776,0.6968241909147566,-418.9353102201085,0.0681017361111111,-320.0803907987324,2.817029365786833,-120.96738941671458,0.2,0.25,-20,1,400,0.7,1,eq,0.5,6.5,15,15
10.361951210723882,-85.94628876042776,0.664380693404857,-432.29586968314135,0.0681017361111111,-334.8611273761221,2.817029365786833,-121.03885433178763,0.2,0.25,-20,1,400,0.7,0.5,eq,0.5,6.5,15,15
10.361951210723882,-83.52037815475732,0.6968241909147566,-400.881100323472,0.0681017361111111,-306.7270803187481,2.817029365786833,-120.90282611201053,0.2,0.25,-20,1,400,0.7,1,eff,1,6.5,15,15
7.482433334471366,-86.6232159880782,0.6968241909147566,-372.97800099814185,0.0681017361111111,-274.4388548814966,2.817029365786833,-120.74671242466817,0.2,0.25,-20,1,400,0.7,1,eff,0.5,6.5,10,15
7.482433334471366,-89.11140995875189,0.6968241909147566,-375.46619496881556,0.0681017361111111,-277.31808227205255,2.817029365786833,-120.76063349956623,0.2,0.25,-20,1,400,0.7,1,eff,0.5,35,10,15
10.361951210723882,-87.89424806992096,0.664380693404857,-417.9223225843043,0.0681017361111111,-325.71433357973734,2.817029365786833,-120.99462955053752,0.2,0.25,-20,1,400,0.7,0.5,eff,0.5,35,15,15
10.361951210723882,-83.52037815475732,0.664380693404857,-429.86995907747075,0.0681017361111111,-332.0188550124539,2.817029365786833,-121.02511193457887,0.2,0.25,-20,1,400,0.8,0.5,eq,1,35,15,15
10.361951210723882,-83.52037815475732,0.664380693404857,-429.86995907747075,0.0681017361111111,-332.0188550124539,2.817029365786833,-121.02511193457887,0.2,0.25,-20,1,400,0.8,0.5,eq,1,6.5,15,15
7.482433334471366,-89.11140995875189,0.6968241909147566,-391.0944942597815,0.0681017361111111,-287.5030511024773,2.817029365786833,-120.80987786087915,0.2,0.25,-20,1,400,0.7,1,eq,0.5,35,10,15
10.361951210723882,-87.89424806992096,0.6968241909147566,-405.2549702386357,0.0681017361111111,-311.7883280392595,2.817029365786833,-120.92729726313468,0.2,0.25,-20,1,400,0.7,1,eff,0.5,35,15,15
10.361951210723882,-85.94628876042776,0.664380693404857,-432.29586968314135,0.0681017361111111,-334.8611273761221,2.817029365786833,-121.03885433178763,0.2,0.25,-20,1,400,0.8,0.5,eq,0.5,6.5,15,15
7.482433334471366,-84.88041588240203,0.664380693404857,-399.7192866031986,0.0681017361111111,-296.69338880654675,2.817029365786833,-120.85431317708107,0.2,0.25,-20,1,400,0.8,0.5,eq,1,6.5,10,15
10.361951210723882,-83.52037815475732,0.6968241909147566,-400.881100323472,0.0681017361111111,-306.7270803187481,2.817029365786833,-120.90282611201053,0.2,0.25,-20,1,400,0.7,1,eff,1,35,15,15
7.482433334471366,-85.97479807941954,0.6968241909147566,-372.3295830894832,0.0681017361111111,-273.6885345184613,2.817029365786833,-120.74308462298578,0.2,0.25,-20,1,400,0.7,1,eff,1,35,10,15
7.482433334471366,-86.6232159880782,0.664380693404857,-401.4620867088748,0.0681017361111111,-298.7353076489831,2.817029365786833,-120.86418586210578,0.2,0.25,-20,1,400,0.8,0.5,eq,0.5,6.5,10,15
7.482433334471366,-89.11140995875189,0.664380693404857,-403.9502806795485,0.0681017361111111,-301.6505531414258,2.817029365786833,-120.87828108465737,0.2,0.25,-20,1,400,0.8,0.5,eq,0.5,35,10,15
10.361951210723882,-87.89424806992096,0.664380693404857,-434.2438289926345,0.0681017361111111,-337.1434171267498,2.817029365786833,-121.049889211027,0.2,0.25,-20,1,400,0.8,0.5,eq,0.5,35,15,15
10.361951210723882,-83.52037815475732,0.664380693404857,-413.54845266914066,0.0681017361111111,-320.64758439167196,2.817029365786833,-120.97013179979798,0.2,0.25,-20,1,400,0.8,0.5,eff,1,35,15,15
7.482433334471366,-84.88041588240203,0.6968241909147566,-371.2352008924657,0.0681017361111111,-272.4221641171777,2.817029365786833,-120.73696171749305,0.2,0.25,-20,1,400,0.7,1,eff,1,6.5,10,15
7.482433334471366,-86.6232159880782,0.664380693404857,-385.14058030054457,0.0681017361111111,-287.7395265259711,2.817029365786833,-120.8110212204112,0.2,0.25,-20,1,400,0.8,0.5,eff,0.5,6.5,10,15
10.361951210723882,-85.94628876042776,0.6968241909147566,-403.30701092914245,0.0681017361111111,-309.53423616959356,2.817029365786833,-120.9163987207521,0.2,0.25,-20,1,400,0.7,1,eff,0.5,6.5,15,15
10.361951210723882,-83.52037815475732,0.664380693404857,-413.54845266914066,0.0681017361111111,-320.64758439167196,2.817029365786833,-120.97013179979798,0.2,0.25,-20,1,400,0.8,0.5,eff,1,6.5,15,15
7.482433334471366,-85.97479807941954,0.664380693404857,-384.49216239188587,0.0681017361111111,-286.98839058112804,2.817029365786833,-120.80738947538782,0.2,0.25,-20,1,400,0.8,0.5,eff,1,35,10,15
7.482433334471366,-85.97479807941954,0.664380693404857,-400.81366880021613,0.0681017361111111,-297.9756010474761,2.817029365786833,-120.8605126779263,0.2,0.25,-20,1,400,0.8,0.5,eq,1,35,10,15
10.361951210723882,-85.94628876042776,0.664380693404857,-415.9743632748111,0.0681017361111111,-323.45779156069074,2.817029365786833,-120.98371916167406,0.2,0.25,-20,1,400,0.8,0.5,eff,0.5,6.5,15,15
10.361951210723882,-87.89424806992096,0.664380693404857,-417.9223225843043,0.0681017361111111,-325.71433357973734,2.817029365786833,-120.99462955053752,0.2,0.25,-20,1,400,0.8,0.5,eff,0.5,35,15,15
