ry_ini_q,ry_ini_delta,ry_fin_q,ry_fin_delta,snow_q,snow_delta,obs_fin_q,obs_fin_delta,resub_factor,prcp_duration,temp_air_fin,prcp_perday,p_top,rh_surf,dt,ALPHA_RY_MODE,h_air,surface_wind,temp_air_init,temp_sea_init
5.327510845438027,-90.38986506758839,0.664380693404857,-371.31651453120645,0.20430520833333332,-263.4177256629573,2.8442700602312776,-122.06035205516885,0.2,0.25,-20,2,400,0.7,0.5,eq,1,6.5,5,10
5.327510845438027,-91.51466541437559,0.664380693404857,-372.44131487799365,0.20430520833333332,-264.7355767548395,2.8442700602312776,-122.0792844234867,0.2,0.25,-20,2,400,0.7,0.5,eq,1,35,5,10
7.482433334471366,-91.40332519353423,0.664380693404857,-389.92068950600054,0.20430520833333332,-293.27861041837957,2.8442700602312776,-122.48933623401138,0.2,0.25,-20,2,400,0.7,0.5,eff,0.5,6.5,10,10
7.482433334471366,-91.40332519353423,0.664380693404857,-406.2421959143308,0.20430520833333332,-304.3377409121469,2.8442700602312776,-122.64821270577153,0.2,0.25,-20,2,400,0.7,0.5,eq,0.5,6.5,10,10
7.482433334471366,-88.99189763453363,0.664380693404857,-387.50926194699997,0.20430520833333332,-290.48518060341513,2.8442700602312776,-122.4492055679196,0.2,0.25,-20,2,400,0.7,0.5,eff,1,6.5,10,10
5.327510845438027,-92.09914869793256,0.664380693404857,-357.02913033325535,0.20430520833333332,-255.17659001709208,2.8442700602312776,-121.94195915299166,0.2,0.25,-20,2,400,0.7,0.5,eff,0.5,6.5,5,10
7.482433334471366,-88.99189763453363,0.664380693404857,-387.50926194699997,0.20430520833333332,-290.48518060341513,2.8442700602312776,-122.4492055679196,0.2,0.25,-20,2,400,0.7,0.5,eff,1,35,10,10
5.327510845438027,-91.51466541437559,0.664380693404857,-356.44464704969835,0.20430520833333332,-254.49951679366168,2.8442700602312776,-121.93223225765182,0.2,0.25,-20,2,400,0.7,0.5,eff,1,35,5,10
5.327510845438027,-90.38986506758839,0.664380693404857,-355.31984670291115,0.20430520833333332,-253.19653308479533,2.8442700602312776,-121.91351347550683,0.2,0.25,-20,2,400,0.7,0.5,eff,1,6.5,5,10
7.482433334471366,-88.99189763453363,0.664380693404857,-403.83076835533024,0.20430520833333332,-301.5124373366809,2.8442700602312776,-122.60762413834536,0.2,0.25,-20,2,400,0.7,0.5,eq,1,35,10,10
7.482433334471366,-93.33965489659246,0.664380693404857,-408.178525617389,0.20430520833333332,-306.60640505362863,2.8442700602312776,-122.68080454060082,0.2,0.25,-20,2,400,0.7,0.5,eq,0.5,35,10,10
7.482433334471366,-88.99189763453363,0.664380693404857,-403.83076835533024,0.20430520833333332,-301.5124373366809,2.8442700602312776,-122.60762413834536,0.2,0.25,-20,2,400,0.7,0.5,eq,1,6.5,10,10
5.327510845438027,-92.09914869793256,0.664380693404857,-373.02579816155065,0.20430520833333332,-265.42037555983825,2.8442700602312776,-122.08912230523194,0.2,0.25,-20,2,400,0.7,0.5,eq,0.5,6.5,5,10
7.482433334471366,-88.99189763453363,0.6968241909147566,-390.9749819355633,0.20430520833333332,-287.36500774539775,2.8442700602312776,-122.40438088163485,0.2,0.25,-20,2,400,0.7,1,eq,1,6.5,10,10
5.327510845438027,-94.59076824889578,0.664380693404857,-375.51741771251386,0.20430520833333332,-268.33963456861244,2.8442700602312776,-122.13106064493506,0.2,0.25,-20,2,400,0.7,0.5,eq,0.5,35,5,10
7.482433334471366,-88.99189763453363,0.6968241909147566,-390.9749819355633,0.20430520833333332,-287.36500774539775,2.8442700602312776,-122.40438088163485,0.2,0.25,-20,2,400,0.7,1,eq,1,35,10,10
7.482433334471366,-91.40332519353423,0.6968241909147566,-377.7581102035979,0.20430520833333332,-279.97183027104415,2.8442700602312776,-122.29816982346131,0.2,0.25,-20,2,400,0.7,1,eff,0.5,6.5,10,10
5.327510845438027,-92.09914869793256,0.6968241909147566,-360.62056755800916,0.20430520833333332,-251.84643422835634,2.8442700602312776,-121.89411783287841,0.2,0.25,-20,2,400,0.7,1,eq,0.5,6.5,5,10
5.327510845438027,-91.51466541437559,0.6968241909147566,-344.7623695746763,0.20430520833333332,-241.7906268328095,2.8442700602312776,-121.74965519175073,0.2,0.25,-20,2,400,0.7,1,eff,1,35,5,10
7.482433334471366,-93.33965489659246,0.6968241909147566,-395.3227391976221,0.20430520833333332,-292.4524435966316,2.8442700602312776,-122.47746744651499,0.2,0.25,-20,2,400,0.7,1,eq,0.5,35,10,10
5.327510845438027,-91.51466541437559,0.6968241909147566,-360.03608427445215,0.20430520833333332,-251.1625135235848,2.8442700602312776,-121.88429256600052,0.2,0.25,-20,2,400,0.7,1,eq,1,35,5,10
7.482433334471366,-88.99189763453363,0.6968241909147566,-375.3466826445973,0.20430520833333332,-277.18143355749316,2.8442700602312776,-122.25808273117944,0.2,0.25,-20,2,400,0.7,1,eff,1,6.5,10,10
5.327510845438027,-92.09914869793256,0.6968241909147566,-345.3468528582333,0.20430520833333332,-242.46696489116079,2.8442700602312776,-121.7593715256422,0.2,0.25,-20,2,400,0.7,1,eff,0.5,6.5,5,10
7.482433334471366,-88.99189763453363,0.664380693404857,-403.83076835533024,0.20430520833333332,-301.5124373366809,2.8442700602312776,-122.60762413834536,0.2,0.25,-20,2,400,0.8,0.5,eq,1,6.5,10,10
5.327510845438027,-90.38986506758839,0.6968241909147566,-358.91128392766495,0.20430520833333332,-249.84635227883595,2.8442700602312776,-121.86538447417983,0.2,0.25,-20,2,400,0.7,1,eq,1,6.5,5,10
7.482433334471366,-91.40332519353423,0.6968241909147566,-393.3864094945639,0.20430520833333332,-290.18668850563216,2.8442700602312776,-122.44491740336882,0.2,0.25,-20,2,400,0.7,1,eq,0.5,6.5,10,10
5.327510845438027,-94.59076824889578,0.6968241909147566,-363.11218710897236,0.20430520833333332,-254.7619499454528,2.8442700602312776,-121.93600239611368,0.2,0.25,-20,2,400,0.7,1,eq,0.5,35,5,10
7.482433334471366,-88.99189763453363,0.6968241909147566,-375.3466826445973,0.20430520833333332,-277.18143355749316,2.8442700602312776,-122.25808273117944,0.2,0.25,-20,2,400,0.7,1,eff,1,35,10,10
7.482433334471366,-93.33965489659246,0.6968241909147566,-379.69443990665616,0.20430520833333332,-282.21246487737545,2.8442700602312776,-122.33035898344613,0.2,0.25,-20,2,400,0.7,1,eff,0.5,35,10,10
5.327510845438027,-90.38986506758839,0.6968241909147566,-343.6375692278891,0.20430520833333332,-240.4890579015101,2.8442700602312776,-121.73095673442846,0.2,0.25,-20,2,400,0.7,1,eff,1,6.5,5,10
7.482433334471366,-88.99189763453363,0.664380693404857,-403.83076835533024,0.20430520833333332,-301.5124373366809,2.8442700602312776,-122.60762413834536,0.2,0.25,-20,2,400,0.8,0.5,eq,1,35,10,10
7.482433334471366,-91.40332519353423,0.664380693404857,-406.2421959143308,0.20430520833333332,-304.3377409121469,2.8442700602312776,-122.64821270577153,0.2,0.25,-20,2,400,0.8,0.5,eq,0.5,6.5,10,10
5.327510845438027,-91.51466541437559,0.664380693404857,-372.44131487799365,0.20430520833333332,-264.7355767548395,2.8442700602312776,-122.0792844234867,0.2,0.25,-20,2,400,0.8,0.5,eq,1,35,5,10
7.482433334471366,-93.33965489659246,0.664380693404857,-391.85701920905893,0.20430520833333332,-295.5216805466296,2.8442700602312776,-122.52156038292506,0.2,0.25,-20,2,400,0.7,0.5,eff,0.5,35,10,10
5.327510845438027,-94.59076824889578,0.6968241909147566,-347.8384724091965,0.20430520833333332,-245.35015621096468,2.8442700602312776,-121.8007917136542,0.2,0.25,-20,2,400,0.7,1,eff,0.5,35,5,10
5.327510845438027,-90.38986506758839,0.664380693404857,-371.31651453120645,0.20430520833333332,-263.4177256629573,2.8442700602312776,-122.06035205516885,0.2,0.25,-20,2,400,0.8,0.5,eq,1,6.5,5,10
7.482433334471366,-93.33965489659246,0.664380693404857,-408.178525617389,0.20430520833333332,-306.60640505362863,2.8442700602312776,-122.68080454060082,0.2,0.25,-20,2,400,0.8,0.5,eq,0.5,35,10,10
7.482433334471366,-88.99189763453363,0.664380693404857,-387.50926194699997,0.20430520833333332,-290.48518060341513,2.8442700602312776,-122.4492055679196,0.2,0.25,-20,2,400,0.8,0.5,eff,1,35,10,10
5.327510845438027,-92.09914869793256,0.664380693404857,-373.02579816155065,0.20430520833333332,-265.42037555983825,2.8442700602312776,-122.08912230523194,0.2,0.25,-20,2,400,0.8,0.5,eq,0.5,6.5,5,10
5.327510845438027,-90.38986506758839,0.664380693404857,-355.31984670291115,0.20430520833333332,-253.19653308479533,2.8442700602312776,-121.91351347550683,0.2,0.25,-20,2,400,0.8,0.5,eff,1,6.5,5,10
5.327510845438027,-94.59076824889578,0.664380693404857,-375.51741771251386,0.20430520833333332,-268.33963456861244,2.8442700602312776,-122.13106064493506,0.2,0.25,-20,2,400,0.8,0.5,eq,0.5,35,5,10
7.482433334471366,-88.99189763453363,0.664380693404857,-387.50926194699997,0.20430520833333332,-290.48518060341513,2.8442700602312776,-122.4492055679196,0.2,0.25,-20,2,400,0.8,0.5,eff,1,6.5,10,10
5.327510845438027,-92.09914869793256,0.664380693404857,-357.02913033325535,0.20430520833333332,-255.17659001709208,2.8442700602312776,-121.94195915299166,0.2,0.25,-20,2,400,0.8,0.5,eff,0.5,6.5,5,10
7.482433334471366,-91.40332519353423,0.664380693404857,-389.92068950600054,0.20430520833333332,-293.27861041837957,2.8442700602312776,-122.48933623401138,0.2,0.25,-20,2,400,0.8,0.5,eff,0.5,6.5,10,10
5.327510845438027,-91.51466541437559,0.664380693404857,-356.44464704969835,0.20430520833333332,-254.49951679366168,2.8442700602312776,-121.93223225765182,0.2,0.25,-20,2,400,0.8,0.5,eff,1,35,5,10
7.482433334471366,-93.33965489659246,0.664380693404857,-391.85701920905893,0.20430520833333332,-295.5216805466296,2.8442700602312776,-122.52156038292506,0.2,0.25,-20,2,400,0.8,0.5,eff,0.5,35,10,10
5.327510845438027,-94.59076824889578,0.664380693404857,-359.52074988421856,0.20430520833333332,-258.06291530386,2.8442700602312776,-121.98342436385722,0.2,0.25,-20,2,400,0.7,0.5,eff,0.5,35,5,10
7.482433334471366,-88.99189763453363,0.6968241909147566,-390.9749819355633,0.20430520833333332,-287.36500774539775,2.8442700602312776,-122.40438088163485,0.2,0.25,-20,2,400,0.8,1,eq,1,6.5,10,10
5.327510845438027,-90.38986506758839,0.6968241909147566,-358.91128392766495,0.20430520833333332,-249.84635227883595,2.8442700602312776,-121.86538447417983,0.2,0.25,-20,2,400,0.8,1,eq,1,6.5,5,10
7.482433334471366,-88.99189763453363,0.6968241909147566,-390.9749819355633,0.20430520833333332,-287.36500774539775,2.8442700602312776,-122.40438088163485,0.2,0.25,-20,2,400,0.8,1,eq,1,35,10,10
7.482433334471366,-88.99189763453363,0.6968241909147566,-375.3466826445973,0.20430520833333332,-277.18143355749316,2.8442700602312776,-122.25808273117944,0.2,0.25,-20,2,400,0.8,1,eff,1,35,10,10
5.327510845438027,-94.59076824889578,0.664380693404857,-359.52074988421856,0.20430520833333332,-258.06291530386,2.8442700602312776,-121.98342436385722,0.2,0.25,-20,2,400,0.8,0.5,eff,0.5,35,5,10
5.327510845438027,-91.51466541437559,0.6968241909147566,-360.03608427445215,0.20430520833333332,-251.1625135235848,2.8442700602312776,-121.88429256600052,0.2,0.25,-20,2,400,0.8,1,eq,1,35,5,10
7.482433334471366,-91.40332519353423,0.6968241909147566,-393.3864094945639,0.20430520833333332,-290.18668850563216,2.8442700602312776,-122.44491740336882,0.2,0.25,-20,2,400,0.8,1,eq,0.5,6.5,10,10
5.327510845438027,-92.09914869793256,0.6968241909147566,-360.62056755800916,0.20430520833333332,-251.84643422835634,2.8442700602312776,-121.89411783287841,0.2,0.25,-20,2,400,0.8,1,eq,0.5,6.5,5,10
7.482433334471366,-93.33965489659246,0.6968241909147566,-395.3227391976221,0.20430520833333332,-292.4524435966316,2.8442700602312776,-122.47746744651499,0.2,0.25,-20,2,400,0.8,1,eq,0.5,35,10,10
5.327510845438027,-90.38986506758839,0.6968241909147566,-343.6375692278891,0.20430520833333332,-240.4890579015101,2.8442700602312776,-121.73095673442846,0.2,0.25,-20,2,400,0.8,1,eff,1,6.5,5,10
5.327510845438027,-94.59076824889578,0.6968241909147566,-363.11218710897236,0.20430520833333332,-254.7619499454528,2.8442700602312776,-121.93600239611368,0.2,0.25,-20,2,400,0.8,1,eq,0.5,35,5,10
7.482433334471366,-88.99189763453363,0.6968241909147566,-375.3466826445973,0.20430520833333332,-277.18143355749316,2.8442700602312776,-122.25808273117944,0.2,0.25,-20,2,400,0.8,1,eff,1,6.5,10,10
5.327510845438027,-91.51466541437559,0.6968241909147566,-344.7623695746763,0.20430520833333332,-241.7906268328095,2.8442700602312776,-121.74965519175073,0.2,0.25,-20,2,400,0.8,1,eff,1,35,5,10
7.482433334471366,-91.40332519353423,0.6968241909147566,-377.7581102035979,0.20430520833333332,-279.97183027104415,2.8442700602312776,-122.29816982346131,0.2,0.25,-20,2,400,0.8,1,eff,0.5,6.5,10,10
5.327510845438027,-94.59076824889578,0.6968241909147566,-347.8384724091965,0.20430520833333332,-245.35015621096468,2.8442700602312776,-121.8007917136542,0.2,0.25,-20,2,400,0.8,1,eff,0.5,35,5,10
7.482433334471366,-93.33965489659246,0.6968241909147566,-379.69443990665616,0.20430520833333332,-282.21246487737545,2.8442700602312776,-122.33035898344613,0.2,0.25,-20,2,400,0.8,1,eff,0.5,35,10,10
7.482433334471366,-88.99189763453363,0.664380693404857,-403.83076835533024,0.3064578125,-301.5138687517681,2.864700581064611,-123.88357118532834,0.2,0.25,-20,2,500,0.7,0.5,eq,1,6.5,10,10
5.327510845438027,-92.09914869793256,0.6968241909147566,-345.3468528582333,0.20430520833333332,-242.46696489116079,2.8442700602312776,-121.7593715256422,0.2,0.25,-20,2,400,0.8,1,eff,0.5,6.5,5,10
5.327510845438027,-90.38986506758839,0.664380693404857,-371.31651453120645,0.3064578125,-263.4191570781165,2.864700581064611,-123.06851762723625,0.2,0.25,-20,2,500,0.7,0.5,eq,1,6.5,5,10
